Name,Team,date,GA1,GA2,GA3,GA
김윤동,KIA,07월 07일,0,0,0,0
김윤동,KIA,07월 12일,0,0,0,0
김재영,한화,04월 21일,5,3,4,2
김재영,한화,04월 28일,3,4,2,1
김재영,한화,05월 04일,4,2,1,6
김재영,한화,05월 10일,2,1,6,1
김재영,한화,05월 16일,1,6,1,4
김재영,한화,05월 22일,6,1,4,3
김재영,한화,05월 27일,1,4,3,2
김재영,한화,06월 02일,4,3,2,1
김재영,한화,06월 08일,3,2,1,5
김재영,한화,06월 14일,2,1,5,2
김재영,한화,06월 20일,1,5,2,7
김재영,한화,06월 26일,5,2,7,7
김재영,한화,07월 07일,2,7,7,1
김재영,한화,07월 12일,7,7,1,0
김재윤,KT,04월 07일,4,0,0,0
김재윤,KT,04월 10일,0,0,0,0
김재윤,KT,04월 12일,0,0,0,0
김재윤,KT,04월 17일,0,0,0,1
김재윤,KT,04월 20일,0,0,1,1
김재윤,KT,04월 25일,0,1,1,0
김재윤,KT,04월 28일,1,1,0,0
김재윤,KT,05월 03일,1,0,0,0
김재윤,KT,05월 10일,0,0,0,0
김재윤,KT,05월 15일,0,0,0,0
김재윤,KT,05월 23일,0,0,0,0
김재윤,KT,05월 27일,0,0,0,1
김재윤,KT,06월 03일,0,0,1,0
김재윤,KT,06월 07일,0,1,0,0
김재윤,KT,06월 09일,1,0,0,1
김재윤,KT,06월 21일,0,0,1,1
김재윤,KT,06월 24일,0,1,1,0
김재윤,KT,06월 29일,1,1,0,0
김재윤,KT,07월 04일,1,0,0,0
김재윤,KT,07월 05일,0,0,0,0
김재윤,KT,07월 12일,0,0,0,2
김정후,두산,04월 25일,0,0,2,0
김정후,두산,04월 26일,0,2,0,1
김정후,두산,04월 28일,2,0,1,0
김정후,두산,05월 08일,0,1,0,0
김정후,두산,05월 11일,1,0,0,0
김정후,두산,05월 19일,0,0,0,4
김정훈,NC,05월 02일,0,2,0,4
김정훈,NC,05월 05일,2,0,4,6
김정훈,NC,05월 09일,0,4,6,0
김정훈,NC,05월 10일,4,6,0,0
김정훈,NC,05월 27일,6,0,0,5
김정훈,NC,06월 23일,0,0,5,0
김주한,SK,05월 08일,2,0,0,5
김지용,LG,04월 11일,0,0,0,0
김지용,LG,04월 18일,0,0,0,1
김지용,LG,04월 21일,0,0,1,0
김지용,LG,04월 22일,0,1,0,0
김지용,LG,04월 25일,1,0,0,0
김지용,LG,04월 28일,0,0,0,1
김지용,LG,05월 09일,0,0,1,1
김지용,LG,05월 11일,0,1,1,3
김지용,LG,05월 16일,1,1,3,0
