Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR,GA
강영식,롯데,2016년 05월 21일,0.0,0.0,0.0,nan,0.35,0.7,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,3.6,0.175,3.6,18.4,0.0,0.0,0.0,0
강영식,롯데,2016년 06월 08일,0.0,0.0,0.0,nan,0.24,0.725,0.0,0.7,0.0,1.2,0.0,0.0,0.0,0.2,0.0,0.0,1.07,0.0,1.0,3.9,0.05,4.6,16.0,0.0,0.0,0.0,0
강영식,롯데,2017년 04월 16일,0.0,0.0,0.0,nan,0.09,0.25,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,1.02,0.0,1.0,2.6,0.025,2.8,10.8,0.0,0.7,0.0,0
강윤구,NC,2017년 05월 13일,0.0,0.0,8.997,2.8,1.2096,2.097,0.0,1.4,0.0,2.8,0.1,0.0,0.0,3.0,0.0,0.0,1.97,2.0,1.0,9.9,0.3049,11.5,52.1,0.0,0.0,1.7,1
강윤구,NC,2017년 05월 14일,2.1,0.0,5.592,1.5,1.3042,2.792,0.0,1.2,0.0,1.5,0.0,0.0,0.0,4.5,0.0,0.0,2.02,1.3,1.0,10.1,0.449,11.4,41.1,0.0,0.0,0.5,0
강윤구,NC,2017년 05월 18일,0.6,0.0,1.671,nan,0.7344,1.471,0.0,0.3,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,1.31,0.4,1.0,5.9,0.3023,6.2,23.2,0.0,0.0,0.2,0
강윤구,NC,2017년 05월 19일,1.0,0.0,0.45,nan,0.7477,1.55,0.0,0.8,0.0,1.5,0.0,0.0,0.0,1.4,0.0,0.0,1.17,0.1,1.0,5.3,0.24,6.1,19.1,0.0,0.0,0.0,3
강윤구,NC,2017년 05월 25일,0.2,0.0,4.053,nan,0.9085,1.751,0.0,2.3,0.7,2.5,0.0,0.0,0.0,4.5,0.0,0.0,3.26,2.1,1.0,15.4,0.275,18.4,72.3,0.0,0.0,1.4,3
강윤구,NC,2017년 06월 20일,0.8,0.0,10.608,0.869,0.8577,2.286,0.0,2.8,0.2,2.2,0.7,0.0,0.0,2.7,0.0,0.0,2.35,2.7,1.0,10.1,0.255,13.1,53.2,0.0,0.0,0.4,0
강윤구,NC,2017년 06월 25일,0.2,0.0,3.279,3.034,0.3377,0.924,0.0,1.6,0.1,3.5,0.2,0.0,0.0,1.0,0.0,0.0,2.92,0.9,1.0,9.9,0.08,11.6,46.1,0.0,0.0,0.2,2
강윤구,NC,2017년 06월 28일,0.8,0.0,8.91,1.042,1.223,2.836,0.0,3.3,0.0,1.7,0.8,0.0,0.0,1.6,0.0,0.0,1.64,1.7,1.0,6.8,0.2581,10.1,44.6,0.0,0.0,0.7,0
강윤구,NC,2017년 07월 09일,0.2,0.0,2.16,3.25,0.5806,1.278,0.0,1.6,0.0,3.4,0.2,0.0,0.7,2.5,0.0,0.0,4.11,0.4,1.0,15.4,0.1772,17.0,72.6,0.0,0.0,0.2,2
