Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF,R
스크럭스,NC,05월 27일,0,0,0.5,0,0,0,0.8,0,1,0,2.5,0.2,0.2,0.3,4.8,3.8,0.05,0.2,0.2,0,0,1
스크럭스,NC,05월 29일,0,0,0.9247,0,0,0,1.3,0,0.2,0.9,1.5,1,0.3997,0.525,4.8,3.7,0.3247,0.1,0.1,0,0,0
스크럭스,NC,05월 31일,0,0,0.4913,0,0,0,0.2,0,1,0.2,2.2,0.2,0.0666,0.4247,3.9,2.7,0.0666,0,0,0,0,1
스크럭스,NC,06월 01일,0.9,0,1.9499,0,0,0,5.5,0,0.2,0.1,1.4,1.9,1.3833,0.5666,4.6,4.3,0.4833,2.7,0.9,0,0,1
스크럭스,NC,06월 02일,0.2,0,0.8833,0,0,0,2.1,0,0.1,0,0.4,1.3,0.525,0.3583,4.7,4.6,0.325,1.5,0.2,0,0,1
스크럭스,NC,06월 03일,0.1,0,1.9497,0,0,0,4.4,0,0.9,0,1,1.3,1.3997,0.55,4.8,3.9,0.3997,1.4,1,0,0,0
스크럭스,NC,06월 05일,0,0,0.8666,0,0,0,1.8,0,0.2,0,2,1.2,0.5166,0.35,4.8,4.6,0.3166,0.3,0.2,0,0,0
스크럭스,NC,06월 06일,0,0,0.5083,0,0,0,0.6,0,1,0,1.4,0.3,0.1833,0.325,4.8,3.8,0.0833,1,0.1,0,0,0
스크럭스,NC,06월 07일,0,0,0.1,0,0,0,0.1,0,0.2,0,3.1,0.1,0.025,0.075,5.7,5.5,0.025,0.2,0,0,0,1
스크럭스,NC,06월 08일,0.9,0,1.0753,0,0,0,1.8,0.9,1,0,1.6,0.9,0.6003,0.475,5,4,0.2997,0.1,0,0,0,0
스크럭스,NC,06월 09일,0.2,0,0.2334,0,0,0,0.4,0.2,0.2,0,2.3,0.2,0.1334,0.1,4.9,4.7,0.0666,0,0,0,0,0
스크럭스,NC,06월 10일,0.1,0,0.3417,0,0,0,0.2,0.1,1,0,1.4,0.1,0.0667,0.275,4.8,3.8,0.0333,0,0,0,0,0
스크럭스,NC,06월 12일,0,0,0.5,0,0,0,0.9,0,0.2,0,0.4,0.9,0.225,0.275,4.8,4.6,0.225,0,0,0,0,2
스크럭스,NC,06월 13일,0.9,0,1.1753,0,0,0,2,0,1,0,1,1.1,0.6503,0.525,4.8,3.8,0.3497,1.8,0,0,0,1
스크럭스,NC,06월 14일,0.2,0,1.4084,0,0,0,4.1,0,0.2,0,2,1.2,1.0584,0.35,4.8,4.6,0.3166,1.3,0.9,0,0,2
스크럭스,NC,06월 15일,0.1,0,1.6267,0,0,0,4.6,0,1,0,1.4,1.2,1.1667,0.46,5.7,4.7,0.3083,1.3,1.1,0,0,0
스크럭스,NC,06월 16일,0,0,0.405,0,0,0,1.2,0,0.2,0,3.1,0.3,0.3,0.105,5,4.8,0.075,0.3,0.3,0,0,0
스크럭스,NC,06월 17일,0,0,1.04,0,0,0,2.2,0,0.1,0,0.7,1.9,0.55,0.49,4.9,4.8,0.475,1,0.1,0,0,0
스크럭스,NC,06월 20일,0,0,0.65,0,0,0,1.3,0,0,0,2.1,1.3,0.325,0.325,4.8,4.8,0.325,1.1,0,0,0,0
스크럭스,NC,06월 21일,0,0,1.19,0,0,0,2.2,0,0,0.9,0.4,2.2,0.55,0.64,5.7,4.8,0.55,2.1,0,0,0,2
스크럭스,NC,06월 23일,0.9,0,2.07,0,0,0,5.9,0,0,0.2,1.1,2.3,1.475,0.595,5,4.8,0.575,4.1,0.9,0,0,1
스크럭스,NC,06월 24일,0.2,0,0.96,0,0,0,2.3,0,0,0.1,1.1,1.5,0.575,0.385,4.9,4.8,0.375,1,0.2,0,0,2
스크럭스,NC,06월 26일,0.1,0,1.875,0,0,0,5.3,0,0,0,1.2,2.2,1.325,0.55,4.8,4.8,0.55,1.3,1,0,0,0
스크럭스,NC,06월 27일,0.9,0,1.525,0,0,0,3.8,0,0,0,1.2,2.3,0.95,0.575,4.8,4.8,0.575,2.9,0.2,0,0,0
스크럭스,NC,06월 28일,0.2,0,1.1747,0,0.9,0,2,0,0.9,0,1.2,1.5,0.5747,0.6,4.8,3.9,0.4497,0.7,0.1,0,0,0
스크럭스,NC,06월 29일,0.1,0,1.0413,0,0.2,0,1.4,0,1.1,0,1.2,1.3,0.4413,0.6,4.8,3.7,0.4163,0.3,0,0,0,0
스크럭스,NC,06월 30일,0.9,0,0.9249,0,0.1,0,2.1,0,0.3,0,1.2,1.2,0.5499,0.375,4.8,4.5,0.3249,0,0,0,0,0
스크럭스,NC,07월 03일,0.2,0,0.2333,0,0,0,0.5,0.9,0.1,0,1.2,0.3,0.1333,0.1,3,2.9,0.0833,0,0,0,0,1
스크럭스,NC,07월 04일,1,0,1.3503,0,0.9,0,2.9,0.2,0.9,0.9,1.2,1.9,0.725,0.6253,6.2,4.4,0.475,0.9,0,0,0,0
스크럭스,NC,07월 05일,1.1,0,0.9584,0,0.2,0,2.4,0.1,0.2,0.2,0.3,1.3,0.6,0.3584,5,4.6,0.325,0.2,0,0,0,1
스크럭스,NC,07월 06일,1.2,0,1.1017,0,0.1,0,2.5,0,1,0.1,1.9,1.3,0.625,0.4767,5.9,4.8,0.325,0.1,0,0,0.9,0
스크럭스,NC,07월 07일,1.2,0,0.93,0,0,0,2.4,0,0.2,0,2.2,1.2,0.6,0.33,5,4.8,0.3,0.9,0,0,1.1,1
스크럭스,NC,07월 08일,0.3,0,1.365,0,0,0,4.2,0.9,0.1,0,0.6,1.2,1.05,0.315,4.9,4.8,0.3,2,0.9,0,0.3,1
스크럭스,NC,07월 10일,1,0,1.135,0,0,0,2.8,0.2,0.9,0,1.1,1.2,0.7,0.435,5.7,4.8,0.3,0.5,0.2,0,0.1,0
스크럭스,NC,07월 11일,0.2,0,0.305,0,0,0,0.8,0.1,0.2,0,1.1,0.3,0.2,0.105,5,3.9,0.075,1.1,0.1,0.9,0,0
신본기,롯데,04월 04일,0.2,0,1.24,0,0,0,2.4,0,0.9,0,0.9,2.2,0.6,0.64,5.7,4.7,0.55,0.3,0,0.1,0,0
