Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,H,SH,SF,R
강민호,롯데,2015년 07월 25일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0
강민호,롯데,2015년 07월 26일,0,0,0.4,0,0,0,0,0,2,0,2,0,0,0.4,5,3,0,0,0,0,0,0
강민호,롯데,2015년 07월 28일,0,0,0.333,0,0,0,0,0,1,0,1,0,0,0.333,3,2,0,0,0,0,0,0
강민호,롯데,2015년 07월 29일,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0
강민호,롯데,2015년 07월 31일,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0
강민호,롯데,2015년 08월 02일,1,0,1.417,0,0,0,3,0,1,1,1,2,0.75,0.667,6,4,0.5,1,0,0,0,2
강민호,롯데,2015년 08월 05일,0,0,1.25,0,0,0,4,0,0,0,0,1,1,0.25,4,4,0.25,4,1,0,0,1
강민호,롯데,2015년 08월 06일,0,0,1,0,0,0,2,0,0,0,2,2,0.5,0.5,4,4,0.5,0,0,0,0,0
강민호,롯데,2015년 08월 08일,0,0,0.8,0,0,0,0,0,4,0,0,0,0,0.8,5,1,0,0,0,0,0,0
강민호,롯데,2015년 08월 09일,0,0,2,0,0,0,2,0,2,0,0,2,1,1,4,2,1,0,0,0,0,0
강민호,롯데,2015년 08월 11일,0,0,1.833,0,0,0,4,1,1,0,0,1,1.333,0.5,4,3,0.333,1,1,0,0,1
강민호,롯데,2015년 08월 13일,0,0,1.833,0,0,0,4,0,1,0,1,1,1.333,0.5,4,3,0.333,1,1,0,0,1
강민호,롯데,2015년 08월 14일,0,0,1.25,0,0,0,1,0,2,0,0,1,0.5,0.75,4,2,0.5,1,0,0,0,0
강민호,롯데,2015년 08월 15일,0,0,1.75,0,0,0,5,0,0,0,1,2,1.25,0.5,4,4,0.5,2,1,0,0,1
강민호,롯데,2015년 08월 17일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0
강민호,롯데,2015년 08월 19일,0,0,0.5,0,0,0,1,1,0,0,2,1,0.25,0.25,4,4,0.25,0,0,0,0,1
강민호,롯데,2015년 08월 21일,0,0,0.833,0,0,0,1,0,0,1,0,1,0.333,0.5,4,3,0.333,0,0,0,0,0
강민호,롯데,2015년 08월 23일,2,0,2.3,0,0,0,6,0,0,0,0,4,1.5,0.8,5,4,1,1,0,1,0,1
강민호,롯데,2015년 08월 26일,0,0,0.4,0,0,0,1,0,0,0,2,1,0.2,0.2,5,5,0.2,1,0,0,0,0
강민호,롯데,2015년 08월 27일,1,0,1.167,0,0,0,2,1,1,0,0,1,0.667,0.5,4,3,0.333,0,0,0,0,1
강민호,롯데,2015년 08월 28일,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0
강민호,롯데,2015년 08월 29일,1,0,1.167,0,0,0,2,0,0,1,2,1,0.667,0.5,4,3,0.333,0,0,0,0,0
강민호,롯데,2015년 09월 01일,0,0,0.25,0,0,0,0,0,1,0,1,0,0,0.25,4,3,0,0,0,0,0,0
강민호,롯데,2015년 09월 02일,0,0,0.833,0,0,0,1,0,1,0,1,1,0.333,0.5,4,3,0.333,0,0,0,0,0
강민호,롯데,2015년 09월 08일,0,0,0.65,0,0,0,1,0,1,0,1,1,0.25,0.4,5,4,0.25,0,0,0,0,0
강민호,롯데,2015년 09월 09일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,1,0,1,0,0
강민호,롯데,2015년 09월 10일,0,0,1.75,0,0,0,5,0,0,0,1,2,1.25,0.5,4,4,0.5,2,1,0,0,1
강민호,롯데,2015년 09월 11일,0,0,1.75,0,0,0,5,0,0,0,1,2,1.25,0.5,4,4,0.5,2,1,0,0,1
강민호,롯데,2015년 09월 18일,0,0,0.5,0,0,0,0,0,1,1,0,0,0,0.5,4,2,0,0,0,0,0,0
강민호,롯데,2015년 09월 20일,0,0,1,0,0,0,4,1,0,0,2,1,0.8,0.2,5,5,0.2,1,1,0,0,1
강민호,롯데,2015년 09월 22일,0,0,1.75,0,0,0,5,0,0,0,1,2,1.25,0.5,4,4,0.5,1,1,0,0,2
강민호,롯데,2015년 09월 24일,0,0,1.5,0,0,0,5,0,1,0,2,2,1,0.5,6,5,0.4,2,1,0,0,1
강민호,롯데,2015년 09월 27일,0,0,1.25,0,0,0,4,0,0,0,2,1,1,0.25,4,4,0.25,1,1,0,0,1
강민호,롯데,2016년 04월 01일,0,0,1.417,0,0,0,2,0,1,0,0,2,0.667,0.75,4,3,0.667,0,0,0,0,1
강민호,롯데,2016년 04월 02일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0
강민호,롯데,2016년 04월 03일,0,0,2,0,0,0,3,0,2,0,0,3,1,1,5,3,1,1,0,0,0,1
강민호,롯데,2016년 04월 05일,0,0,0.5,0,0,0,0,0,1,1,0,0,0,0.5,4,2,0,0,0,0,0,1
강민호,롯데,2016년 04월 06일,0,0,0.667,0,0,0,0,0,1,1,0,0,0,0.667,3,1,0,0,0,0,0,0
강민호,롯데,2016년 04월 08일,1,0,1.75,0,0,0,2,0,2,0,1,1,1,0.75,4,2,0.5,1,0,0,0,1
강민호,롯데,2016년 04월 09일,0,0,2.25,0,0,0,6,0,0,0,1,3,1.5,0.75,4,4,0.75,4,1,0,0,1
강민호,롯데,2016년 04월 10일,1,0,1.25,0,0,0,3,0,0,0,0,2,0.75,0.5,4,4,0.5,0,0,0,0,1
강민호,롯데,2016년 04월 12일,0,0,1.25,0,0,0,4,0,0,0,1,1,1,0.25,4,4,0.25,2,1,0,0,1
